First Hash - Ehe -- Second Ehe  (sagen,1) (Verhältnis,1) (selbstverständlich,1) (schlagen,1) (Bett,1) (müssen,1)
First Hash - plump -- Second plump  (Rücken,1) (Zimmer,1) (fallen,1) (vorsichtig,1) (Eintritt,1) (wollen,1)
First Hash - Trotz -- Second Trotz  (sein,1) (kindlich,1) (unerwartet,1) (letzter,1) (bestehen,1) (Zeit,1)
First Hash - Ledersofa -- Second Ledersofa  (kühl,1) (befindlich,1) (sein,1) (heiß,1) (Beschämung,1) (Tür,1)
First Hash - absehen -- Second absehen  (Sinn,1) (sein,1) (wirklich,1) (tatsächlich,1) (Tür,1) (lang,1) (werden,1) (fühlen,1) (Gregor,1) (bekommen,1) (versperren,1) (Schlaf,1)
First Hash - Anordnung -- Second Anordnung  (sein,1) (Zuversicht,1) (treffen,1) (werden,1) (Sicherheit,1) (erster,1)
First Hash - reichlich -- Second reichlich  (sein,1) (Kanapee,1) (bleiben,1) (haben,1) (Leib,1) (Essen,1)
First Hash - Höhe -- Second Höhe  (denken,1) (Versteifung,1) (Art,1) (setzen,1) (sein,1) (ordnen,1) (Niedergleiten,1) (Pult,1) (groß,1) (brauchen,1) (weit,1) (geteilt,1) (gänzlich,1) (reden,1) (fliegen,1) (angestellter,1) (Decke,1) (ausstrecken,1) (bliesen,1) (Bauch,1) (Minute,1) (Kriechen,1) (einemmal,1) (Mund,1) (Rauch,1) (bekommen,1) (versunken,1) (lassen,1) (Bettdecke,1) (Zigarre,1) (scheinen,1) (Bett,1) (Arm,1) (Schwerhörigkeit,1) (Polster,1) (Herr,1)
First Hash - Langsam -- Second Langsam  (sein,1) (Fühler,1) (finster,1) (schieben,1) (Gregor,1) (ungeschickt,1)
First Hash - lachen -- Second lachen  (können,1) (freundlich,1) (Hunger,1) (Freude,1) (haben,2) (schwimmen,1) (Zeug,1) (Bedienerin,1) (groß,1) (wegschaffen,1) (reden,1)
First Hash - transportieren -- Second transportieren  (Luftlöcher,1) (können,1) (Kiste,1) (leicht,1) (Familie,1) (hauptsächlich,1)
First Hash - vertreiben -- Second vertreiben  (fortwirkend,1) (Tier,1) (beruhigen,1) (aufgeregt,1) (halten,2) (Gregor,1) (langsam,1) (offenbar,1) (nötig,1) (verfolgen,1) (drücken,1) (Zimmerherre,2) (zurückwich,1) (gleichmäßig,1) (unsichtbar,1) (wollen,1)
First Hash - Sohle -- Second Sohle  (können,1) (haben,1) (strecken,1) (Vorzimmer,1) (verbrennen,1) (glauben,1)
First Hash - äußerer -- Second äußerer  (erfüllen,1) (Geschäft,1) (Leute,1) (holen,1) (verlangen,1) (Stellung,1) (sollen,1) (dürfen,1) (werden,1) (gefährden,1) (klein,1) (Vater,1)
First Hash - Zusammenbruch -- Second Zusammenbruch  (Jahr,1) (retten,1) (Geschäft,1) (haben,1) (Wertheimkassa,1) (erfolgt,1)
First Hash - erworben -- Second erworben  (unerwartet,1) (Selbstvertrauen,1) (Zeit,1) (bestimmen,1) (schwer,1) (Forderung,1)
First Hash - Zeitschrift -- Second Zeitschrift  (Bild,1) (kurz,1) (illustriert,1) (vergoldet,1) (ausgeschnitt,1) (hübsch,1)
First Hash - unbegreiflich -- Second unbegreiflich  (können,1) (zutreffen,1) (sehen,1) (verlieren,1) (Lust,1) (Starrsinn,1)
First Hash - ergreifen -- Second ergreifen  (sagen,1) (sein,3) (Mieter,1) (Empfindlichkeit,1) (früh,1) (verstünde,1) (Gregor,1) (derartig,1) (haben,3) (ganz,1) (Familie,1) (lang,1) (zeigen,1) (Tier,1) (bestehen,1) (Eigensinn,2) (scheinen,1) (Gegensatz,1) (Weg,1) (aufräumen,1) (vergessen,1) (Diener,1) (Musik,1) (Sicherheit,1) (Respekt,1)
First Hash - Vorbereitung -- Second Vorbereitung  (gestatten,1) (haben,1) (umständlich,1) (brauchen,1) (müssen,1) (Gregor,1)
First Hash - zusammenrücken -- Second zusammenrücken  (nahe,1) (Wange,2) (lassen,1) (liegen,1) (sitzen,1)
First Hash - staunend -- Second staunend  (stehen,1) (bleiben,1) (falten,1) (Schoß,1) (versäumen,1) (Hand,1)
First Hash - Verkühlung -- Second Verkühlung  (sein,1) (Berufskrankheit,1) (reisend,1) (zweifeln,1) (tüchtig,1) (Vorbot,1)
First Hash - Haar -- Second Haar  (Rücken,1) (aufgelöst,1) (sein,2) (Speiseüberrest,1) (sträubend,1) (umflatternd,1) (kommen,1) (Hand,1) (aufmerksam,1) (staubbedecken,1) (weiß,2) (schleppen,1) (gefaltet,1) (Morgen,1) (Abend,1) (Kopf,1) (zerzaust,1) (peinlich,1) (Faden,1) (sehen,1) (hoch,1) (genau,1)
First Hash - Fenster -- Second Fenster  (hinausgelehnen,1) (Front,1) (sollen,1) (Gregor,5) (Sofa,1) (offen,2) (haben,3) (Gespräch,1) (Anblick,1) (zeigen,1) (Sessel,4) (Wetter,2) (lehnen,1) (Atembeschwerde,1) (Auge,1) (Blick,1) (Morgens,1) (öffnen,2) (Schwester,1) (Einöde,1) (laufen,1) (befinden,1) (reißen,1) (Stellung,1) (erschrecken,1) (sinken,1) (schieben,1) (aufhalten,1) (hinaufzukriechen,2) (groß,2) (Tür,1) (stemmen,1) (weit,1) (atmen,1) (Hellerwerden,1) (gänzlich,1) (Eltern,1) (Kopf,2) (genau,1) (hören,1) (glauben,1) (kalt,1) (Morgennebel,1) (Monat,1) (grau,1) (bleiben,1) (ersticken,1) (Weilchen,1) (aufreißen,1) (verbringen,1) (treten,1) (können,2) (kühl,1) (früh,1) (Fensterbrüstung,1) (liegen,1) (Zimmer,2) (Treppenhaus,1) (offenbar,1) (Fensterflügel,1) (richten,2) (ersparen,1) (verhindern,1) (erleben,1) (trübe,1) (kriechen,1) (Vater,1) (beobachten,1) (Erinnerung,1) (stehen,1) (besorgt,1) (durchbrechend,1) (erheben,1) (aufstellen,1) (Anfang,1) (gehen,1) (Mühe,1) (Hand,1) (früher,1) (müssen,1) (Regen,1) (regelmäßig,1) (schauen,3) (tatsächlich,1) (drücken,2) (hastig,1) (Rücksicht,1) (sein,7) (haltend,1) (gesenkt,1) (scharf,1) (Gasse,1) (tief,1) (Gesicht,1) (innerer,1) (recht,1) (umschlung,1) (allgemein,1) (fallen,1) (geschlossen,1) (fahren,1) (Mutter,1) (aufräumen,1) (sehen,2)
First Hash - Veranlassung -- Second Veranlassung  (besonderer,1) (Vorurteil,1) (haben,1) (gut,1) (Leben,1) (durchdenken,1)
First Hash - Schwingen -- Second Schwingen  (frei,1) (glücklich,1) (atmet,1) (leicht,1) (gehen,1) (Körper,1)
First Hash - Jahreszeit -- Second Jahreszeit  (sein,2) (unbefriedigend,1) (besonderer,1) (Geschäft,3) (erkennen,1) (machen,3) (geben,1)
First Hash - Gelegenheit -- Second Gelegenheit  (holen,1) (Nacht,1) (Befriedigung,1) (gefaßt,1) (suchen,1) (Absicht,1) (Gregor,1) (Entschluß,1) (Alter,1) (Sinn,1) (haben,2) (hinauszuwerfen,1) (Mädchen,1) (Gret,1) (Zeit,1) (Kraft,1) (Ding,1)
First Hash - geputzt -- Second geputzt  (fleckig,1) (leuchtend,1) (Abend,1) (Goldknöpfen,1) (lang,1) (Kleid,1)
First Hash - Zeug -- Second Zeug  (freundlich,1) (lachen,1) (sollen,1) (wegschaffen,1) (werden,1) (reden,1)
First Hash - Weg -- Second Weg  (kurz,1) (sein,3) (Mitte,1) (aufgebunden,1) (gleich,1) (zulief,1) (Gregor,1) (rufen,1) (Zimmer,1) (haben,1) (Boden,1) (unbekannt,1) (zurücklegen,1) (sicher,1) (Zeit,1) (zeigen,1) (übereinkommen,1) (Vater,1) (ergreifen,1) (verrammeln,1) (Nahrung,1) (Röcke,1) (möglich,1) (müssen,1) (ersehnt,1) (Schwester,1) (Mutter,1) (merken,1)
First Hash - Erschöpfung -- Second Erschöpfung  (haben,1) (hören,1) (vergessen,1) (arbeiten,1) (Existenz,1) (stumm,1)
First Hash - Idee -- Second Idee  (sein,1) (fix,1) (schaffen,1) (rasch,1) (Gregor,1) (Durchgang,1)
First Hash - Kragen -- Second Kragen  (frei,1) (Samsa,1) (stark,1) (entwickeln,1) (Rock,1) (gehen,1) (Band,1) (tragen,2) (steif,1) (hoch,1) (Herr,1)
First Hash - denken -- Second denken  (Rücken,1) (unbeweglich,1) (elastisch,1) (Krankheit,1) (sollen,1) (Wand,1) (spie,1) (Zeichen,1) (loben,1) (beabsichtigen,1) (Gregor,10) (Höhe,1) (Sorge,1) (Schreibtisch,1) (sämtlich,1) (haben,10) (stundenlang,1) (legen,1) (Lage,1) (Begreift,1) (fühlen,2) (Uhr,1) (Feingefühl,1) (halb,1) (Arbeit,1) (Geduld,1) (spüren,1) (Auge,1) (Käse,1) (frühzeitig,1) (Rede,1) (Leute,1) (Geschäft,1) (Blick,1) (öffnen,1) (Erwähnung,1) (Schwester,1) (laufen,1) (vergessen,1) (anstrengend,1) (lieben,1) (überfallen,1) (gut,2) (kommen,2) (Rührung,1) (Rettung,1) (Tür,2) (dürfen,1) (absichtlich,1) (gänzlich,1) (unschuldig,1) (Besuch,1) (Eltern,1) (Kriechen,1) (bekommen,1) (klein,1) (Entfernung,2) (Meinung,1) (hören,1) (bewegen,2) (verstehen,4) (Behinderung,1) (Narrheit,1) (Monat,1) (bestimmt,1) (Zustand,2) (melden,1) (Heidengeld,1) (verbringen,1) (besondere,1) (können,2) (beginnen,2) (gering,1) (Mensch,2) (liegen,1) (Zuhausebleiben,1) (aufmachen,1) (feucht,1) (Traum,2) (undurchführbar,1) (verständigend,1) (Beruf,1) (Zimmer,1) (weiterschliefe,1) (handeln,1) (führen,1) (kennen,1) (Zeit,1) (Vater,2) (verlassen,1) (geschehen,1) (Sohn,1) (erfahren,1) (Gott,1) (blödsinnig,1) (gehen,1) («,1) (halten,1) (Dienstmädchen,1) (müssen,2) (möglich,1) (Hand,1) (Trauer,1) (vergäßen,1) (auffallend,1) (unbewußt,1) (Fähigkeit,2) (umdrehen,1) (wiederholen,1) (sein,13) (gegenwärtig,1) (Fremder,1) (reisend,1) (saugen,1) (beschwören,1) (verlangen,1) (nächster,1) (müde,1) (Kasten,1) (Liebe,1) (staunen,1) (stark,1) (schön,1) (anderer,1) (wissen,1) (gierig,1) (Familie,2) (Hotelzimmer,1) (heftig,1) (Schlaf,1) (Verschlimmerung,1) (machen,1) (Finger,1) (himmlisch,1) (überstehen,1) (ticken,1) (Messer,1) (Weihnachtsabend,1) (Verwirklichung,1) (Reise,1) (werden,2) (aufstehen,1) (verdienen,1)
First Hash - vorbehalten -- Second vorbehalten  (Zimmer,1) (bleiben,1) (haben,1) (Mutter,1) (aufräumen,1) (Gregor,1)
First Hash - lieben -- Second lieben  (denken,1) (Geschäft,1) (reisend,1) (Violine,1) (wissen,1) (Unterschied,1) (Partei,1) (halten,1) (rührend,1) (Gregor,1) (Musik,1) (spielen,1)
First Hash - Erstickungsanfall -- Second Erstickungsanfall  (hervorgequollen,1) (Enge,1) (sehen,1) (Auge,1) (atmen,1) (klein,1)
First Hash - Geräuschen -- Second Geräuschen  (scheinen,1) (Zahn,1) (mannigfach,1) (kauend,1) (Essen,1) (Gregor,1)
First Hash - ängstlich -- Second ängstlich  (Seitenblicken,1) (verstehen,1) (Möglichkeit,1) (beginnen,1) (unaufhörlich,1) (Vater,1)
First Hash - ausrufen -- Second ausrufen  (holen,1) (Freude,1) (kommen,1) (erregt,1) (Mutter,1) (Vater,1)
First Hash - Rettung -- Second Rettung  (Bild,1) (denken,1) (sein,1) (anderer,1) (laufen,1) (offenhieln,1) (Stumpfheit,1) (helfen,1) (vergessen,1) (Zeit,1) (Gregor,1) (wollen,1)
First Hash - Widerwille -- Second Widerwille  (hinunterzuschlucken,1) (sein,1) (kroch,1) (haben,1) (Zimmermitt,1) (dulden,2) (Familienpflicht,1) (hereinstellen,1) (Napf,1) (wenden,1) (Gebot,1)
First Hash - heraushören -- Second heraushören  (Zahn,1) (kauend,1) (Essen,1) (werden,1) (zeigen,1) (Gregor,1)
First Hash - zusammenpacken -- Second zusammenpacken  (wegfahren,1) (werden,1) (anziehen,1) (Kollektion,1) (wollen,2)
First Hash - nickt -- Second nickt  (Schreibend,1) (sein,1) (aufschauen,1) (entfernen,1) (Bedienerin,1) (beenden,1)
First Hash - Entscheidend -- Second Entscheidend  (Zimmer,1) (langsam,1) (Runde,1) (ganze,1) (machen,1) (ereignen,1)
First Hash - Frühjahr -- Second Frühjahr  (kommend,1) (Scheibe,1) (sein,1) (schlagen,1) (Zeichen,1) (Regen,1)
First Hash - ermahnen -- Second ermahnen  (Schwester,1) (Mutter,2) (Stille,1) (nähen,1) (Sessel,1)
First Hash - Hemd -- Second Hemd  (haben,1) (Schwester,2) (Mutter,1) (entkleiden,1) (hervoreilen,1)
First Hash - verwandte -- Second verwandte  (sein,1) (schlagen,1) (ganz,1) (arm,1) (Bekanntenkreis,1) (Welt,1)
First Hash - Geldverdienen -- Second Geldverdienen  (Rede,1) (anderer,1) (Form,1) (haben,1) (lassen,1) (Möglichkeit,1) (kommen,1) (Arbeitserfolg,1) (Notwendigkeit,1) (werden,1) (spielen,1) (Gregor,1)
First Hash - schaukelnd -- Second schaukelnd  (verhalten,1) (gleich,1) (Bewegung,1) (Augenblick,1) (unmittelbar,1) (weit,1)
First Hash - zerzaust -- Second zerzaust  (aufmerksam,1) (sein,1) (weiß,1) (Haar,1) (Auge,1) (frisch,1)
First Hash - Sitz -- Second Sitz  (bequem,1) (durchscheinen,1) (Aussicht,1) (besprechen,1) (Zukunft,1) (zurückgelehnen,1)
First Hash - auflösen -- Second auflösen  (Veränderung,1) (heutig,1) (allmählich,1) (Stimme,1) (werden,1) (Vorstellung,1)
First Hash - betasen -- Second betasen  (Berührung,1) (Stelle,1) (Bein,1) (umweht,1) (ziehen,1) (wollen,1)
First Hash - besinnungslos -- Second besinnungslos  (können,1) (aufbringen,1) (Schlüssel,1) (Fortschreiten,1) (Drehung,1) (Kraft,1)
First Hash - blähen -- Second blähen  (Kanapee,1) (Weise,1) (strecken,1) (Gregor,2) (bekommen,1)
First Hash - schmerzhaft -- Second schmerzhaft  (zitternd,1) (sein,1) (Luft,1) (Boden,1) (geben,1) (drücken,1)
First Hash - Laune -- Second Laune  (verschwinden,1) (sein,1) (nutzlos,1) (sorgen,1) (froh,1) (haben,1) (lassen,1) (Wut,1) (stören,1) (Familie,1) (Bedienerin,1) (werden,1)
First Hash - Sachverhalt -- Second Sachverhalt  (aufmerksam,1) (wahr,1) (erkennen,1) (machen,1) (groß,1) (werden,1)
First Hash - passieren -- Second passieren  (können,1) (ähnliche,1) (Prokurist,1) (Möglichkeit,1) (vorstellen,1) (müssen,1)
First Hash - Müdigkeit -- Second Müdigkeit  (können,1) (lassen,1) (zuhören,1) (Kopf,1) (horchen,1) (allgemein,1)
First Hash - wachsend -- Second wachsend  (frei,1) (Vergnügen,1) (sein,1) (spät,1) (Wanderung,1) (sterben,1)
First Hash - Mittagessen -- Second Mittagessen  (Eltern,1) (schlafen,2) (Weilchen,1) (Dienstmädchen,1) (allgemein,1)
First Hash - verbrennen -- Second verbrennen  (können,1) (Sohle,1) (haben,1) (strecken,1) (Vorzimmer,1) (rechter,1)
First Hash - jetzig -- Second jetzig  (Arbeit,1) (nehmen,1) (sein,1) (Wohnung,1) (hören,1) (Schwester,1) (völlig,1) (ausgesucht,1) (hereinzukommen,1) (praktisch,1) (bringen,1) (Gregor,1)
First Hash - Genügte -- Second Genügte  (verlassen,1) (sein,1) (wirklich,1) (nachfrage,1) (Lehrjung,1) (Bett,1)
First Hash - Entschuldigungsbrief -- Second Entschuldigungsbrief  (setzen,1) (Tisch,1) (Samsa,1) (Direktion,1) (schreiben,1) (Herr,1)
First Hash - schicken -- Second schicken  (können,1) (sagen,1) (kurz,1) (Unglück,1) (lesen,1) (sein,1) (Achtuhrzug,1) (kommen,1) (Hausmeisterin,1) (groß,1) (Gregor,1) (nehmen,1) (Konservatorium,2) (letzter,1) (haben,4) (Aufenthalt,1) (Auftrag,1) (werden,1) (hereinbringen,1) (Vater,1)
First Hash - abhalten -- Second abhalten  (zitternd,1) (sagen,1) (Veränderung,1) (Gesicht,1) (Zimmer,2) (Herumschauen,1) (unüberlegen,1) (Mutter,1) (Zustand,1) (söhnen,1) (Essen,1)
First Hash - beißen -- Second beißen  (haben,2) (auflaueren,1) (verstecken,1) (Gregor,1) (wollen,1)
First Hash - ausrücken -- Second ausrücken  (sein,1) (Geschäftsreise,1) (früh,1) (Abend,1) (Heimkehr,1) (Gregor,1)
First Hash - herrschend -- Second herrschend  (Verhältnis,1) (Wohnung,1) (Familie,1) (spie,1) (widerlich,1) (Rücksicht,1)
First Hash - Unterleib -- Second Unterleib  (brennen,1) (stehen,1) (aufrecht,1) (lassen,1) (Schmerz,1) (achten,1)
First Hash - scharren -- Second scharren  (Nacht,1) (scheuen,1) (stundenlang,1) (Leder,1) (Augenblick,1) (schlief,1)
First Hash - Leder -- Second Leder  (scheuen,1) (stundenlang,1) (scharren,1) (Mühe,1) (groß,1) (Augenblick,1)
First Hash - Ursache -- Second Ursache  (können,1) (ängstigen,1) (sein,1) (haben,1) (Haus,1) (durchschauend,1) (Boden,1) (liegen,1) (herausfinden,1) (eigen,1) (schlimm,1) (Folge,1)
First Hash - Mensch -- Second Mensch  (denken,2) (können,1) (Zusammenleben,1) (sein,3) (überfallen,1) (abschneiden,1) (gut,1) (Wand,1) (eintreten,1) (arbeitsscheuen,1) (haben,3) (treu,1) (ergeben,1) (vernünftig,1) (kennen,1) (Gret,1) (eingesehen,1) (ruhig,1) (Schlaf,1) (Tier,1) (machen,1) (glauben,1) (blödsinnig,1) (plötzlich,1) (Morgenstunde,1) (müssen,1) (getrauen,1) (möglich,1) (ausnützen,1) (Geschäft,1) (scheinen,1) (geben,2) (Fall,1) (beherrschen,1) (werden,1) (gesund,1)
First Hash - Uniform -- Second Uniform  (Haltung,1) (verlangen,1) (Vorzimmer,1) (straff,1) (aufrichten,1) (Tür,1) (Sorgfalt,1) (kleiden,1) (blau,1) (vorgesetzter,1) (Schwester,1) (Mutter,1) (Goldknöpfen,1) (Diener,1) (verlieren,1) (lächelnd,1) (Respekt,1) (neu,1)
First Hash - gelten -- Second gelten  (Autorität,1) (anderer,1) (scheinen,1) (Stück,1) (sitzen,1) (Fleisch,1)
First Hash - wegschaffen -- Second wegschaffen  (Schreibtisch,1) (sein,1) (lachen,1) (verhindern,1) (Zeug,1) (Kasten,1) (sollen,1) (tun,1) (werden,1) (müssen,1) (Vater,1) (reden,1)
First Hash - hübsch -- Second hübsch  (Zeitschrift,1) (Zimmer,1) (sein,1) (illustriert,1) (hängen,1) (Rahmen,1) (vergoldet,1) (ausgeschnitt,1) (unterbringen,1) (werden,1) (staunen,1) (schnitzen,1)
First Hash - versetzen -- Second versetzen  (richtig,1) (Erregung,1) (Überlegung,1) (werden,1) (Gregor,1) (Entschluß,1)
First Hash - derartig -- Second derartig  (Ankunft,1) (ergreifen,1) (Redensart,1) (Wohnung,1) (Winkel,1) (Kommen,1) (bezeichnend,1) (beginnen,1) (Bedienerin,1) (Tür,1) (Gregor,1) (Eigensinn,1) (scheinen,1) (langsam,1) (haben,1) (Schwester,1) (vermeiden,1) (ganz,1) (Stellung,1) (vergessen,1) (Angriff,1) (erbittert,1) (Vater,1) (Respekt,1)
First Hash - Turmuhr -- Second Turmuhr  (bleiben,1) (schlagen,1) (friedlich,1) (Morgenstunde,1) (Nachdenken,1) (dritter,1)
First Hash - Vermögen -- Second Vermögen  (Unglück,1) (verstehen,1) (vorhanden,1) (alt,1) (Zeit,1) (klein,1)
First Hash - Schläfrigkeit -- Second Schläfrigkeit  (Hunger,1) (wirklich,1) (haben,1) (kräftig,1) (überflüssig,1) (Schlaf,1)
First Hash - horchend -- Second horchend  (sein,1) (Stück,1) (umgedrehen,1) (Zisch,1) (zurückdrehen,1) (irren,1)
First Hash - liegend -- Second liegend  (Zimmer,1) (ganz,1) (Dunkel,1) (Wohnzimmer,1) (werden,1) (unsichtbar,1)
First Hash - knochig -- Second knochig  (weiß,1) (entlassen,1) (Kopf,1) (Bedienerin,1) (werden,1) (riesig,1)
First Hash - treu -- Second treu  (angestellter,1) (Lumpen,1) (geben,1) (ergeben,1) (Mensch,1) (Morgenstunde,1)
First Hash - hoch -- Second hoch  (Jahr,1) (Nacht,1) (heben,1) (geöffnet,1) (sollen,1) (liegen,1) (schmerzlich,1) (Gregor,4) (Möbel,1) (Sonntag,1) (bleich,1) (Zimmer,2) (Bankinstitut,1) (arbeiten,1) (neu,1) (Aufregung,1) (Rock,1) (Haar,1) (zwingen,1) (tragen,1) (befindlich,1) (Prokurist,1) (laufen,1) (freilassen,1) (Kragen,1) (Diener,1) (Bett,1) (frei,1) (sträubend,1) (ordnen,1) (Wohnzimmer,1) (steif,1) (Tür,1) (groß,1) (staunen,1) (Stuhl,1) (Fuß,1) (Fleischergeselle,1) (Teil,1) (Riesengröße,1) (Zimmerdecke,1) (Kopf,1) (Mund,1) (Familie,1) (Interesse,1) (ungewöhnlich,1) (wollen,1) (aufgelöst,1) (beleidigt,1) (Spaziergang,1) (bemerken,1) (Samsa,1) (Trage,1) (Mutter,1) (Feiertag,1) (sehen,1)
First Hash - spionieren -- Second spionieren  (Leintuch,1) (Mutter,1) (sehen,1) (unterlassen,1) (Gregor,1) (verzichten,1)
First Hash - Straßenseite -- Second Straßenseite  (klar,1) (stehen,1) (anderer,1) (endlos,1) (gegenüberliegend,1) (Ausschnitt,1)
First Hash - leisten -- Second leisten  (schreckenerregend,1) (können,1) (Arbeit,1) (Raum,1) (machen,1) (Abend,1) (Näharbeit,1) (Mutter,1) (besorgen,1) (schwer,1) (wollen,1) (Gregor,1)
First Hash - beisammen -- Second beisammen  (Eltern,1) (Schuld,1) (haben,1) (Geld,1) (abzahlen,1) (aufgeben,1)
First Hash - Besprechung -- Second Besprechung  (klar,1) (entscheidend,1) (sachverständige,1) (erfahren,1) (Stimme,1) (Gregor,2) (angewöhnen,1) (allgemein,1) (Preis,1) (nähernd,1) (Angelegenheit,1) (haben,1) (erzielt,1) (Abend,1) (Leistung,1) (unberechtigt,1) (bekommen,1)
First Hash - Rock -- Second Rock  (stark,1) (entwickeln,1) (entschlossen,1) (Schwester,1) (mögen,1) (Kragen,1) (Doppelkinn,1) (steif,1) (vordringen,1) (hoch,1) (andeuten,1) (zupfen,1)
First Hash - mühevoll -- Second mühevoll  (Jahr,1) (sein,1) (erfolglos,1) (Ferien,1) (Leben,1) (erster,1)
First Hash - erkundigen -- Second erkundigen  (sein,2) (Prokurist,1) (kommen,1) (Frühzug,1) (wegfahren,1)
First Hash - Überschwung -- Second Überschwung  (dulden,1) (vorsichtig,1) (vollziehen,1) (Beinchen,1) (müssen,1) (Fußboden,1)
First Hash - blödsinnig -- Second blödsinnig  (denken,1) (machen,1) (Mensch,1) (aufstehen,1) (müssen,1) (Schlaf,1)
First Hash - bestimmen -- Second bestimmen  (erworben,1) (beobachten,1) (haben,1) (tatsächlich,1) (Selbstvertrauen,1) (Forderung,1)
First Hash - früher -- Second früher  (Erinnerung,1) (sein,1) (offenbar,1) (Befreiend,1) (liegen,1) (Fenster,1)
First Hash - befindlich -- Second befindlich  (Stuhl,1) (kühl,1) (sein,1) (Ledersofa,1) (Nähe,1) (heben,1) (Tür,3) (groß,1) (hoch,1) (werfen,1)
First Hash - fortgehen -- Second fortgehen  (können,1) (sagen,1) (Bruder,1) (sein,3) (haben,1) (kommen,1) (Bedienerin,1) (Morgenarbeit,1) (freiwillig,1) (beenden,1)
First Hash - anvertrauen -- Second anvertrauen  (können,1) (kurz,1) (herunterneigen,1) (wahrhaftig,1) (Absicht,1) (betreffen,1) (fest,1) (Angelegenheit,1) (haben,1) (Prokurist,1) (legen,1) (Erregung,1) (Ohr,1) (Inkasso,1) (werden,1) (Verstand,1) (wollen,1) (Versäumnis,1)
First Hash - Geschäftsleute -- Second Geschäftsleute  (sagen,1) (leicht,1) (Unwohlsein,1) (Ernstes,1) (müssen,1) (wollen,1)
First Hash - vorstellen -- Second vorstellen  (können,1) (Wartung,1) (dastand,1) (suchen,1) (passieren,1) (Gregor,1) (erfüllen,1) (wirklich,1) (letzter,1) (ähnliche,1) (haben,3) (Prokurist,1) (Appetit,1) (schlecht,1) (Nebenzimmer,1) (Vater,1)
First Hash - Verstand -- Second Verstand  (zufällig,1) (sein,1) (Lauf,1) (Chef,1) (verwirren,1) (Besen,1) (müssen,1) (möglich,1) (krank,1) (verdächtig,1) (Monat,1) (Angelegenheit,1) (Beleidigt,1) (anvertrauen,1) (haben,1) (Kreatur,1) (Rückgrat,1) (Prokurist,1) (Untersuchung,1) (Familie,1) (melden,1) (werden,1) (lang,1) (trauen,1)
First Hash - befangen -- Second befangen  (sagen,1) (Hoffnung,1) (unsinnig,1) (öffnen,1) (gehen,1) (Gregor,1)
First Hash - verlangen -- Second verlangen  (sagen,1) (ausleern,1) (können,1) (denken,1) (sein,2) (Haltung,1) (darnach,1) (müde,1) (heben,1) (gering,1) (Uniform,1) (ernsthaft,1) (Tür,1) (Gregor,2) (fürchterlich,1) (erfüllen,1) (Zimmer,1) (haben,6) (besessen,1) (Schwur,1) (Anblick,1) (arm,1) (Hotelzimmer,1) (klein,2) (Welt,1) (Vater,2) (erweisen,1) (äußerer,1) (Ernst,1) (Vorzimmer,1) (Demut,1) (hereinlassen,1) (erfahren,1) (plötzlich,1) (begierig,1) (Erklärung,1) (Samsa,1) (Leute,1) (Prokurist,1) (geben,1) (sehen,1) (werden,1) (überkommend,1) (Respekt,1) (Herr,1)
First Hash - Lippe -- Second Lippe  (Rede,1) (Schulter,1) (aufgeworfen,1) (sehen,1) (Gregor,2)
First Hash - kräftig -- Second kräftig  (Schläfrigkeit,1) (Hunger,1) (haben,1) (groß,1) (Eile,1) (überflüssig,1)
First Hash - prüfen -- Second prüfen  (können,1) (Frau,1) (zerschnitt,1) (Auswahl,1) (erkennen,1) (gut,1) (Mitte,1) (Bedienerin,1) (gefaßt,1) (tun,1) (Geschmack,1) (Essen,1) (Absicht,1) (Entschluß,1) (haben,1) (ganz,1) (Zeit,1) (Schüssel,1) (bringen,1) (Kraft,1) (wollen,1) (fragend,1) (Vorzimmer,1) (alt,1) (Prüfung,1) (Existenz,1) (öffnen,1) (Schwester,1) (tatsächlich,1) (sehen,1)
First Hash - Außergewöhnlich -- Second Außergewöhnlich  (sagen,1) (umstellen,1) (geschehen,1) (Grete,1) (Gregor,1) (Möbel,1)
First Hash - Sache -- Second Sache  (Jahr,1) (lassen,1) (machen,1) (kommen,1) (alt,1) (Geruch,1) (groß,1) (essen,1) (Stückchen,1) (folgen,1) (nehmen,1) (Schnitt,1) (schleppen,1) (dauern,1) (werden,1) (vertragen,1) (wollen,1) (Rücksicht,1)
First Hash - zurufen -- Second zurufen  (Aufmunterung,1) (haben,1) (Mutter,1) (sollen,1) (groß,1) (Vater,1)
First Hash - murmelt -- Second murmelt  (sein,1) (sämtlich,1) (Bärt,1) (erheben,1) (aßen,1) (Zimmerherre,1)
First Hash - verdächtig -- Second verdächtig  (sein,2) (Angelegenheit,1) (Prokurist,1) (peinlich,1) (Untersuchung,1) (melden,1) (fünfjährig,1) (werden,1) (zeigen,1) (Gregor,1) (Verstand,1)
First Hash - angestellter -- Second angestellter  (Lumpen,1) (setzen,1) (Unternehmer,1) (Chef,1) (lassen,1) (Pult,1) (Höhe,1) (reden,1) (Ware,1) (leicht,1) (wissen,1) (beirren,1) (geben,1) (treu,1) (Urteil,1) (Verdacht,1) (Schwerhörigkeit,1) (fassen,1)
First Hash - kochen -- Second kochen  (Verein,1) (Schwester,1) (machen,1) (Mutter,1) (Mühe,1) (aß,1)
